"Date","Price","Open","High","Low","Change %"
"Dec 31, 2020","1.3209","1.3231","1.3236","1.3203","-0.15%"
"Dec 30, 2020","1.3229","1.3273","1.3274","1.3222","-0.30%"
"Dec 29, 2020","1.3269","1.3302","1.3312","1.3268","-0.23%"
"Dec 28, 2020","1.3299","1.3297","1.3313","1.3269","0.17%"
"Dec 25, 2020","1.3277","1.3291","1.3304","1.3281","-0.09%"
"Dec 24, 2020","1.3289","1.3305","1.3324","1.3277","-0.09%"
"Dec 23, 2020","1.3301","1.3357","1.3369","1.3292","-0.43%"
"Dec 22, 2020","1.3359","1.3325","1.3378","1.3313","0.27%"
"Dec 21, 2020","1.3323","1.3271","1.3405","1.3271","0.41%"
"Dec 18, 2020","1.3269","1.3263","1.3299","1.3254","0.12%"
"Dec 17, 2020","1.3253","1.3291","1.3304","1.3247","-0.27%"
"Dec 16, 2020","1.3289","1.3324","1.3339","1.3284","-0.24%"
"Dec 15, 2020","1.3321","1.3355","1.3367","1.3314","-0.19%"
"Dec 14, 2020","1.3346","1.3363","1.3369","1.3315","-0.13%"
"Dec 11, 2020","1.3363","1.3353","1.3382","1.3326","0.08%"
"Dec 10, 2020","1.3352","1.3372","1.3390","1.3343","-0.13%"
"Dec 09, 2020","1.3370","1.3377","1.3396","1.3336","-0.04%"
"Dec 08, 2020","1.3375","1.3366","1.3391","1.3348","0.10%"
"Dec 07, 2020","1.3362","1.3355","1.3401","1.3328","0.07%"
"Dec 04, 2020","1.3352","1.3341","1.3365","1.3311","0.10%"
"Dec 03, 2020","1.3338","1.3373","1.3392","1.3321","-0.26%"
"Dec 02, 2020","1.3373","1.3372","1.3420","1.3362","0.01%"
"Dec 01, 2020","1.3371","1.3418","1.3419","1.3371","-0.32%"
"Nov 30, 2020","1.3414","1.3389","1.3418","1.3369","0.22%"
"Nov 27, 2020","1.3384","1.3388","1.3391","1.3375","-0.01%"
"Nov 26, 2020","1.3385","1.3397","1.3405","1.3381","-0.09%"
"Nov 25, 2020","1.3397","1.3421","1.3437","1.3391","-0.17%"
"Nov 24, 2020","1.3420","1.3439","1.3453","1.3414","-0.10%"
"Nov 23, 2020","1.3434","1.3439","1.3467","1.3403","0.02%"
"Nov 20, 2020","1.3431","1.3447","1.3457","1.3425","-0.10%"
"Nov 19, 2020","1.3445","1.3422","1.3474","1.3420","0.19%"
"Nov 18, 2020","1.3419","1.3427","1.3437","1.3400","-0.06%"
"Nov 17, 2020","1.3427","1.3455","1.3460","1.3420","-0.20%"
"Nov 16, 2020","1.3454","1.3471","1.3480","1.3442","-0.13%"
"Nov 13, 2020","1.3471","1.3492","1.3504","1.3471","-0.16%"
"Nov 12, 2020","1.3492","1.3493","1.3513","1.3477","0.01%"
"Nov 11, 2020","1.3490","1.3484","1.3513","1.3455","0.07%"
"Nov 10, 2020","1.3480","1.3472","1.3503","1.3450","0.06%"
"Nov 09, 2020","1.3472","1.3484","1.3505","1.3408","-0.07%"
"Nov 06, 2020","1.3481","1.3497","1.3527","1.3466","-0.11%"
"Nov 05, 2020","1.3496","1.3579","1.3605","1.3490","-0.58%"
"Nov 04, 2020","1.3575","1.3607","1.3714","1.3567","-0.16%"
"Nov 03, 2020","1.3597","1.3649","1.3659","1.3591","-0.35%"
"Nov 02, 2020","1.3645","1.3659","1.3686","1.3642","-0.11%"
"Oct 30, 2020","1.3660","1.3671","1.3676","1.3628","-0.06%"
"Oct 29, 2020","1.3668","1.3656","1.3685","1.3625","0.13%"
"Oct 28, 2020","1.3650","1.3606","1.3666","1.3586","0.33%"
"Oct 27, 2020","1.3605","1.3614","1.3618","1.3579","-0.05%"
"Oct 26, 2020","1.3612","1.3578","1.3624","1.3571","0.29%"
"Oct 23, 2020","1.3573","1.3568","1.3601","1.3553","0.04%"
"Oct 22, 2020","1.3568","1.3542","1.3578","1.3535","0.21%"
"Oct 21, 2020","1.3539","1.3573","1.3577","1.3533","-0.24%"
"Oct 20, 2020","1.3572","1.3578","1.3592","1.3558","-0.04%"
"Oct 19, 2020","1.3578","1.3579","1.3586","1.3563","-0.01%"
"Oct 16, 2020","1.3579","1.3601","1.3616","1.3573","-0.13%"
"Oct 15, 2020","1.3596","1.3572","1.3626","1.3568","0.19%"
"Oct 14, 2020","1.3570","1.3605","1.3606","1.3554","-0.21%"
"Oct 13, 2020","1.3598","1.3572","1.3611","1.3568","0.21%"
"Oct 12, 2020","1.3570","1.3569","1.3580","1.3536","0.32%"
"Oct 09, 2020","1.3527","1.3582","1.3589","1.3526","-0.39%"
"Oct 08, 2020","1.3580","1.3594","1.3607","1.3572","-0.09%"
"Oct 07, 2020","1.3592","1.3630","1.3636","1.3583","-0.26%"
"Oct 06, 2020","1.3627","1.3607","1.3632","1.3584","0.21%"
"Oct 05, 2020","1.3599","1.3641","1.3645","1.3590","-0.29%"
"Oct 02, 2020","1.3638","1.3628","1.3678","1.3626","0.09%"
"Oct 01, 2020","1.3626","1.3656","1.3660","1.3614","-0.19%"
"Sep 30, 2020","1.3652","1.3688","1.3712","1.3642","-0.24%"
"Sep 29, 2020","1.3685","1.3722","1.3733","1.3671","-0.26%"
"Sep 28, 2020","1.3721","1.3776","1.3779","1.3717","-0.36%"
"Sep 25, 2020","1.3771","1.3752","1.3795","1.3728","0.14%"
"Sep 24, 2020","1.3752","1.3730","1.3784","1.3710","0.17%"
"Sep 23, 2020","1.3729","1.3647","1.3734","1.3644","0.62%"
"Sep 22, 2020","1.3644","1.3622","1.3670","1.3609","0.18%"
"Sep 21, 2020","1.3620","1.3595","1.3645","1.3542","0.19%"
"Sep 18, 2020","1.3594","1.3570","1.3604","1.3553","0.20%"
"Sep 17, 2020","1.3567","1.3586","1.3632","1.3569","-0.13%"
"Sep 16, 2020","1.3585","1.3610","1.3623","1.3563","-0.18%"
"Sep 15, 2020","1.3610","1.3649","1.3654","1.3587","-0.23%"
"Sep 14, 2020","1.3642","1.3678","1.3688","1.3625","-0.29%"
"Sep 11, 2020","1.3681","1.3699","1.3703","1.3656","-0.12%"
"Sep 10, 2020","1.3698","1.3671","1.3704","1.3631","0.26%"
"Sep 09, 2020","1.3663","1.3710","1.3722","1.3661","-0.31%"
"Sep 08, 2020","1.3705","1.3668","1.3721","1.3659","0.34%"
"Sep 07, 2020","1.3659","1.3652","1.3675","1.3642","0.12%"
"Sep 04, 2020","1.3643","1.3649","1.3691","1.3632","-0.02%"
"Sep 03, 2020","1.3646","1.3626","1.3664","1.3619","0.16%"
"Sep 02, 2020","1.3624","1.3614","1.3645","1.3592","0.08%"
"Sep 01, 2020","1.3613","1.3606","1.3621","1.3558","0.09%"
"Aug 31, 2020","1.3601","1.3585","1.3614","1.3575","0.17%"
"Aug 28, 2020","1.3578","1.3663","1.3673","1.3578","-0.57%"
"Aug 27, 2020","1.3656","1.3654","1.3690","1.3625","0.01%"
"Aug 26, 2020","1.3655","1.3679","1.3697","1.3652","-0.17%"
"Aug 25, 2020","1.3678","1.3704","1.3714","1.3678","-0.17%"
"Aug 24, 2020","1.3701","1.3715","1.3729","1.3674","-0.04%"
"Aug 21, 2020","1.3707","1.3677","1.3738","1.3650","0.28%"
"Aug 20, 2020","1.3669","1.3709","1.3714","1.3668","-0.24%"
"Aug 19, 2020","1.3702","1.3645","1.3709","1.3627","0.43%"
"Aug 18, 2020","1.3643","1.3679","1.3685","1.3634","-0.24%"
"Aug 17, 2020","1.3676","1.3731","1.3732","1.3676","-0.20%"
"Aug 14, 2020","1.3704","1.3728","1.3744","1.3701","-0.14%"
"Aug 13, 2020","1.3723","1.3723","1.3740","1.3705","0.02%"
"Aug 12, 2020","1.3720","1.3733","1.3757","1.3712","-0.07%"
"Aug 11, 2020","1.3730","1.3735","1.3757","1.3700","-0.04%"
"Aug 10, 2020","1.3736","1.3724","1.3749","1.3715","0.07%"
"Aug 07, 2020","1.3726","1.3687","1.3740","1.3684","0.28%"
"Aug 06, 2020","1.3687","1.3700","1.3716","1.3678","-0.08%"
"Aug 05, 2020","1.3698","1.3730","1.3741","1.3668","-0.24%"
"Aug 04, 2020","1.3731","1.3760","1.3784","1.3727","-0.22%"
"Aug 03, 2020","1.3761","1.3742","1.3788","1.3739","0.10%"
"Jul 31, 2020","1.3748","1.3721","1.3761","1.3687","0.19%"
"Jul 30, 2020","1.3721","1.3737","1.3777","1.3716","-0.10%"
"Jul 29, 2020","1.3736","1.3792","1.3800","1.3730","-0.40%"
"Jul 28, 2020","1.3790","1.3787","1.3819","1.3758","0.02%"
"Jul 27, 2020","1.3787","1.3826","1.3840","1.3780","-0.28%"
"Jul 24, 2020","1.3827","1.3858","1.3872","1.3820","-0.24%"
"Jul 23, 2020","1.3859","1.3856","1.3875","1.3822","0.03%"
"Jul 22, 2020","1.3856","1.3832","1.3875","1.3817","0.17%"
"Jul 21, 2020","1.3832","1.3892","1.3916","1.3819","-0.41%"
"Jul 20, 2020","1.3889","1.3906","1.3920","1.3884","-0.09%"
"Jul 17, 2020","1.3902","1.3923","1.3930","1.3894","-0.16%"
"Jul 16, 2020","1.3924","1.3893","1.3939","1.3887","0.23%"
"Jul 15, 2020","1.3893","1.3921","1.3927","1.3874","-0.20%"
"Jul 14, 2020","1.3921","1.3905","1.3949","1.3894","0.14%"
"Jul 13, 2020","1.3901","1.3910","1.3917","1.3873","-0.07%"
"Jul 10, 2020","1.3911","1.3922","1.3952","1.3898","-0.11%"
"Jul 09, 2020","1.3927","1.3911","1.3936","1.3894","0.11%"
"Jul 08, 2020","1.3911","1.3949","1.3968","1.3910","-0.29%"
"Jul 07, 2020","1.3951","1.3922","1.3972","1.3901","0.22%"
"Jul 06, 2020","1.3922","1.3949","1.3949","1.3908","-0.20%"
"Jul 03, 2020","1.3950","1.3948","1.3959","1.3938","0.01%"
"Jul 02, 2020","1.3948","1.3937","1.3958","1.3917","0.08%"
"Jul 01, 2020","1.3937","1.3936","1.3965","1.3922","0.01%"
